	(1)	(2)	(3)	(4)	(5)	(6)
	R1	R2	R3	R4	R5	R6
VARIABLES	lnPremium	lnPremium	lnPremium	lnPremium	lnPremium	lnPremium
						
o.BAcDeduct301_2008		-	-		-	-
						
o.BAcDeduct301_2009		-	-		-	-
						
BAcDeduct301_2010		0.790***			-0.0297	0.374***
		(0.0509)			(0.0647)	(0.111)
_Istate_2	0.0122	0.144**	0.157***	-0.0512	0.237**	0.217**
	(0.0951)	(0.0579)	(0.0540)	(0.143)	(0.0996)	(0.0880)
_Istate_3	0.0203	0.0874*	0.0910	-0.0630	0.152**	0.155**
	(0.0871)	(0.0522)	(0.0572)	(0.214)	(0.0645)	(0.0660)
_Istate_4	-0.125	-0.0641	-0.0503	-0.333	-0.178	-0.168
	(0.0939)	(0.0641)	(0.0599)	(0.292)	(0.125)	(0.118)
_Istate_5	-0.233**	-0.128**	-0.135**	-0.409*	-0.287***	-0.270***
	(0.0932)	(0.0603)	(0.0524)	(0.232)	(0.0999)	(0.0974)
_Istate_6	-0.0905	-0.0155	-0.0399	-0.185	-0.00282	0.00629
	(0.0788)	(0.0524)	(0.0456)	(0.230)	(0.0604)	(0.0566)
_Istate_7	-0.0503	0.0291	0.00493	-0.0611	0.0993*	0.0341
	(0.0885)	(0.0418)	(0.0487)	(0.190)	(0.0586)	(0.0666)
_Istate_8	-0.0277	0.0281	0.00269	-0.155	0.000826	-0.0244
	(0.0715)	(0.0529)	(0.0435)	(0.173)	(0.0559)	(0.0433)
_Istate_9	-8.93e-05	0.0811	0.0917*	0.0869	0.248***	0.224***
	(0.0688)	(0.0535)	(0.0478)	(0.0847)	(0.0843)	(0.0774)
_Istate_10	-0.0973***	-0.0847**	-0.0725**	-0.0959*	-0.0938*	-0.0917*
	(0.0280)	(0.0330)	(0.0349)	(0.0525)	(0.0532)	(0.0502)
_Istate_11	-0.156	-0.0840	-0.0709	-0.785	-0.354	-0.412
	(0.142)	(0.0905)	(0.0883)	(0.489)	(0.281)	(0.294)
_Istate_12	-0.0252	0.0519	0.00771	-0.283	-0.0504	-0.0992
	(0.0892)	(0.0570)	(0.0506)	(0.345)	(0.121)	(0.132)
_Istate_13	-0.0802	0.0121	0.00200	-0.0176	0.123*	0.100*
	(0.0621)	(0.0391)	(0.0371)	(0.0817)	(0.0633)	(0.0514)
_Istate_14	0.0361	0.113**	0.114**	-0.0387	0.198***	0.190***
	(0.0835)	(0.0434)	(0.0434)	(0.188)	(0.0578)	(0.0515)
_Istate_15	-0.0223	0.0202	0.0293	-0.173	0.0356	0.0520
	(0.0908)	(0.0629)	(0.0544)	(0.259)	(0.0658)	(0.0637)
