	(1)	(2)	(3)	(4)	(5)	(6)
	R1	R2	R3	R4	R5	R6
VARIABLES	lnPremium	lnPremium	lnPremium	lnPremium	lnPremium	lnPremium
						
_IstaXyea_23_2008	-0.265**	-0.368***	-0.363***	-0.399***	-0.557***	-0.553***
	(0.108)	(0.0834)	(0.0806)	(0.138)	(0.104)	(0.103)
_IstaXyea_23_2009	-0.252**	-0.346***	-0.342***	-0.276*	-0.458***	-0.455***
	(0.107)	(0.103)	(0.0929)	(0.143)	(0.0975)	(0.0926)
_IstaXyea_23_2010	-0.328***	-0.413***	-0.389***	-0.269*	-0.425***	-0.422***
	(0.0798)	(0.0729)	(0.0634)	(0.157)	(0.0990)	(0.0966)
_IstaXyea_24_2007	-0.0712	-0.145	-0.145*	-0.0342	-0.145	-0.143
	(0.127)	(0.0913)	(0.0859)	(0.208)	(0.129)	(0.126)
_IstaXyea_24_2008	-0.189	-0.275***	-0.284***	-0.174	-0.389***	-0.391***
	(0.136)	(0.0919)	(0.0896)	(0.291)	(0.116)	(0.113)
_IstaXyea_24_2009	-0.109	-0.186***	-0.191***	0.0148	-0.271	-0.275
	(0.101)	(0.0657)	(0.0633)	(0.302)	(0.189)	(0.193)
_IstaXyea_24_2010	-0.0765	-0.132***	-0.116**	0.0971	-0.127	-0.134
	(0.0863)	(0.0495)	(0.0462)	(0.262)	(0.101)	(0.0942)
_IstaXyea_25_2007	-0.0586	-0.182**	-0.189**	-0.0404	-0.121	-0.125
	(0.124)	(0.0870)	(0.0804)	(0.199)	(0.112)	(0.116)
_IstaXyea_25_2008	-0.105	-0.238***	-0.245***	-0.0586	-0.244*	-0.241*
	(0.137)	(0.0863)	(0.0813)	(0.263)	(0.133)	(0.131)
_IstaXyea_25_2009	-0.0660	-0.206**	-0.215***	0.111	-0.0894	-0.0731
	(0.113)	(0.0827)	(0.0788)	(0.253)	(0.116)	(0.110)
_IstaXyea_25_2010	-0.0401	-0.135	-0.111	0.106	-0.0782	-0.0330
	(0.110)	(0.0875)	(0.0837)	(0.233)	(0.105)	(0.108)
_IstaXyea_26_2007	-0.0213	-0.117**	-0.119**	-0.0718	-0.207*	-0.192*
	(0.0897)	(0.0585)	(0.0587)	(0.0581)	(0.106)	(0.105)
_IstaXyea_26_2008	-0.0811	-0.167*	-0.183**	-0.124	-0.319***	-0.305***
	(0.118)	(0.0861)	(0.0847)	(0.142)	(0.0791)	(0.0785)
_IstaXyea_26_2009	-0.116	-0.215***	-0.214***	-0.0685	-0.273***	-0.259***
	(0.0841)	(0.0751)	(0.0684)	(0.143)	(0.0900)	(0.0862)
_IstaXyea_26_2010	-0.169**	-0.248***	-0.233***	-0.148	-0.310***	-0.301***
	(0.0806)	(0.0673)	(0.0580)	(0.124)	(0.0867)	(0.0783)
_IstaXyea_27_2007	-0.0486	-0.0843	-0.0849	-0.0716	-0.137*	-0.144*
	(0.104)	(0.0822)	(0.0720)	(0.0949)	(0.0794)	(0.0827)
_IstaXyea_27_2008	-0.155	-0.199**	-0.195**	-0.282*	-0.390***	-0.391***
	(0.109)	(0.0872)	(0.0844)	(0.161)	(0.0746)	(0.0704)
_IstaXyea_27_2009	-0.199**	-0.244***	-0.235***	-0.119	-0.260***	-0.260***
	(0.0873)	(0.0744)	(0.0691)	(0.176)	(0.0765)	(0.0778)
_IstaXyea_27_2010	-0.220***	-0.275***	-0.249***	-0.106	-0.283***	-0.282***
	(0.0807)	(0.0607)	(0.0564)	(0.168)	(0.0541)	(0.0485)
_IstaXyea_28_2007	0.0599	-0.00863	-0.0131	0.0767	0.00124	0.00560
	(0.115)	(0.0893)	(0.0791)	(0.144)	(0.0942)	(0.104)
_IstaXyea_28_2008	0.0585	-0.0244	-0.0344	0.0641	-0.0813	-0.0545
	(0.128)	(0.0989)	(0.0959)	(0.213)	(0.0960)	(0.115)
_IstaXyea_28_2009	0.0307	-0.0424	-0.0411	0.191	0.0262	0.0528
	(0.0947)	(0.0791)	(0.0739)	(0.242)	(0.103)	(0.123)
_IstaXyea_28_2010	-0.00279	-0.0689	-0.0474	0.169	-0.0300	0.0189
	(0.0859)	(0.0666)	(0.0670)	(0.228)	(0.0662)	(0.0962)
_IstaXyea_29_2007	-0.104	-0.207***	-0.194***	-0.0730	-0.189**	-0.206**
	(0.0983)	(0.0642)	(0.0630)	(0.0999)	(0.0899)	(0.0957)
_IstaXyea_29_2008	-0.141	-0.245***	-0.258***	-0.188	-0.355***	-0.358***
	(0.112)	(0.0717)	(0.0672)	(0.167)	(0.0595)	(0.0591)
_IstaXyea_29_2009	-0.111	-0.217***	-0.233***	-0.117	-0.291***	-0.313***
	(0.0899)	(0.0656)	(0.0615)	(0.190)	(0.0799)	(0.0772)
_IstaXyea_29_2010	-0.151	-0.232***	-0.213***	-0.190	-0.363***	-0.373***
	(0.0914)	(0.0754)	(0.0694)	(0.176)	(0.0874)	(0.0851)
_IstaXyea_30_2007	-0.0417	-0.156***	-0.150***	-0.126*	-0.318***	-0.328**
	(0.0923)	(0.0515)	(0.0529)	(0.0654)	(0.114)	(0.124)
_IstaXyea_30_2008	-0.134	-0.273***	-0.255***	-0.240**	-0.498***	-0.495***
	(0.0953)	(0.0622)	(0.0593)	(0.101)	(0.112)	(0.118)
_IstaXyea_30_2009	-0.177**	-0.287***	-0.277***	-0.133	-0.391***	-0.375***
	(0.0757)	(0.0711)	(0.0665)	(0.115)	(0.0929)	(0.0925)
_IstaXyea_30_2010	-0.197**	-0.289***	-0.256***	-0.124	-0.409***	-0.377***
	(0.0766)	(0.0634)	(0.0550)	(0.107)	(0.108)	(0.104)
_IstaXyea_31_2007	-0.0914	-0.184**	-0.176**	-0.168*	-0.247**	-0.246**
	(0.108)	(0.0789)	(0.0780)	(0.0868)	(0.0962)	(0.0957)
_IstaXyea_31_2008	-0.223*	-0.320***	-0.325***	-0.291*	-0.429***	-0.425***
	(0.113)	(0.0788)	(0.0795)	(0.169)	(0.0623)	(0.0604)
_IstaXyea_31_2009	-0.270***	-0.366***	-0.365***	-0.184	-0.347***	-0.331***
	(0.0878)	(0.0637)	(0.0617)	(0.172)	(0.0592)	(0.0589)
_IstaXyea_31_2010	-0.297***	-0.407***	-0.389***	-0.206	-0.400***	-0.371***
	(0.0927)	(0.0621)	(0.0595)	(0.183)	(0.0511)	(0.0455)
_IstaXyea_32_2007	-0.0432	-0.108	-0.112*	-0.0828	-0.206**	-0.210**
	(0.0996)	(0.0695)	(0.0642)	(0.0935)	(0.0863)	(0.0906)
_IstaXyea_32_2008	-0.0920	-0.164**	-0.173**	-0.112	-0.280***	-0.275***
	(0.109)	(0.0713)	(0.0661)	(0.171)	(0.0798)	(0.0729)
_IstaXyea_32_2009	-0.141	-0.217***	-0.229***	-0.0153	-0.199***	-0.193***
	(0.0861)	(0.0623)	(0.0577)	(0.184)	(0.0545)	(0.0501)
_IstaXyea_32_2010	-0.185**	-0.233***	-0.226***	-0.0399	-0.222***	-0.215***
	(0.0850)	(0.0596)	(0.0531)	(0.174)	(0.0659)	(0.0612)
_IstaXyea_33_2007	-0.0388	-0.0926	-0.107	0.0567	-0.0267	-0.0242
	(0.119)	(0.0927)	(0.0812)	(0.153)	(0.0939)	(0.0989)
_IstaXyea_33_2008	-0.0259	-0.0923	-0.107	0.0248	-0.140	-0.127
	(0.120)	(0.0934)	(0.0855)	(0.187)	(0.0903)	(0.0933)
_IstaXyea_33_2009	-0.0505	-0.105	-0.117*	0.199	0.0283	0.0512
	(0.0929)	(0.0699)	(0.0626)	(0.219)	(0.0913)	(0.0969)
_IstaXyea_33_2010	-0.0158	-0.0612	-0.0949*	0.170	-0.00495	0.0196
	(0.0916)	(0.0725)	(0.0549)	(0.212)	(0.0669)	(0.0745)
_IstaXyea_34_2007	0.0362	-0.0116	-0.0114	0.00113	-0.0485	-0.0510
	(0.110)	(0.0867)	(0.0820)	(0.0939)	(0.107)	(0.108)
_IstaXyea_34_2008	0.0700	0.0248	0.0211	-0.0216	-0.0942	-0.0680
	(0.118)	(0.0975)	(0.0951)	(0.138)	(0.120)	(0.128)
_IstaXyea_34_2009	0.0717	0.0216	0.0154	0.163	0.0594	0.0742
	(0.111)	(0.0993)	(0.0982)	(0.164)	(0.125)	(0.127)
_IstaXyea_34_2010	0.0772	0.0530	0.0527	0.147	0.0562	0.0720
	(0.0952)	(0.0822)	(0.0792)	(0.137)	(0.102)	(0.0991)
_IfirmID_2						0.251
						(0.159)
_IfirmID_3						0.986***
						(0.244)
_IfirmID_4						-0.0584
						(0.0773)
_IfirmID_5						0.197
						(0.187)
_IfirmID_6						0.153***
						(0.0490)
_IfirmID_7						-0.0221
						(0.0546)
_IfirmID_8						0.214**
						(0.0843)
_IfirmID_9						0.393***
						(0.0597)
_IfirmID_10						0.284***
						(0.0431)
_IfirmID_11						0.340***
						(0.0503)
_IfirmID_12						0.152*
						(0.0811)
_IfirmID_13						0.0793*
						(0.0457)
_IfirmID_14						0.0388
						(0.0291)
_IfirmID_15						0.0226
						(0.0254)
_IfirmID_16						0.554***
						(0.0752)
_IfirmID_17						-0.0329
						(0.0333)
o._IfirmID_18						-
						
_IfirmID_19						0.393***
						(0.0558)
o._IfirmID_20						-
						
_IfirmID_21						-0.0916
						(0.0652)
_IfirmID_22						0.0484
						(0.0729)
_IfirmID_23						-0.101***
						(0.0288)
_IfirmID_24						0.488***
						(0.0788)
_IfirmID_25						-0.209***
						(0.0289)
_IfirmID_26						0.0482
						(0.0454)
o._IfirmID_27						-
						
_IfirmID_28						-0.265***
						(0.0436)
_IfirmID_29						0.0826
						(0.0804)
_IfirmID_30						0.498***
						(0.106)
_IfirmID_31						0.438***
						(0.108)
_IfirmID_32						-0.0172
						(0.104)
_IfirmID_33						0.0142
						(0.0414)
_IfirmID_34						-0.0235
						(0.0308)
_IfirmID_35						0.842***
						(0.208)
_IfirmID_36						0.121*
						(0.0625)
_IfirmID_37						0.0173
						(0.0541)
_IfirmID_38						-0.0812***
						(0.0267)
_IfirmID_39						0.134
						(0.107)
_IfirmID_40						-0.132
						(0.149)
_IfirmID_41						0.264***
						(0.0925)
_IfirmID_42						0.502***
						(0.169)
_IfirmID_43						0.404***
						(0.0298)
_IfirmID_44						0.145***
						(0.0455)
_IfirmID_45						0.191***
						(0.0257)
_IfirmID_46						0.537*
						(0.311)
_IfirmID_47						-0.222***
						(0.0584)
_IfirmID_48						-0.0401
						(0.0562)
_IfirmID_49						0.495*
						(0.284)
_IfirmID_50						0.509***
						(0.0458)
_IfirmID_51						0.406***
						(0.0657)
_IfirmID_52						0.0729
						(0.0654)
_IfirmID_53						0.124***
						(0.0442)
_IfirmID_54						0.0687*
						(0.0367)
o._IfirmID_55						-
						
_IfirmID_56						0.435***
						(0.0659)
_IfirmID_57						0.263***
						(0.0300)
_IfirmID_58						0.0128
						(0.0298)
_IfirmID_59						0.0751*
						(0.0402)
o._IfirmID_60						-
						
_IfirmID_61						-0.0199
						(0.0380)
_IfirmID_62						-0.119***
						(0.0293)
_IfirmID_63						0.00537
						(0.0325)
_IfirmID_64						-0.165***
						(0.0327)
_IfirmID_65						0.190***
						(0.0495)
MAPlan		-0.145**			-0.0390	
		(0.0653)			(0.0350)	
o._IbtyXyea_2_2007		-				
						
BAcDeduct1_502009		0.216***	0.0501		0.0747	
		(0.0601)	(0.0724)		(0.0647)	
o.BAcDeduct1_502010		-				
						
o.BAcDeduct51_1002009		-			-	
						
BAcDeduct101_1502006		0.556***	0.296***		-0.0559	
		(0.0378)	(0.0975)		(0.0996)	
o.BAcDeduct151_2002006		-				
						
BAcDeduct251_3002010		0.570***	-0.285***			
		(0.0730)	(0.0721)			
Dyear2	-0.0615					
	(0.0886)					
Dyear3	0.00873			0.174***		
	(0.134)			(0.0562)		
Dyear4	0.121			0.124**		
	(0.111)			(0.0553)		
Dyear5	0.160			0.124**		
	(0.109)			(0.0468)		
BAcDeduct51_1002008			0.372***			
			(0.0714)			
o.BAcDeduct201_2502006			-			
						
o.BAcDeduct251_3002007			-			
						
o.BAcDeduct251_3002008			-			
						
o.BAcDeduct251_3002009			-			
						
o.BAcDeduct301_2010			-			
						
o.Dyear2				-		
						
o._IbtyXyea_2_2009					-	
						
Constant	3.491***	3.571***	3.478***	3.247***	3.309***	3.239***
	(0.0817)	(0.108)	(0.0603)	(0.0532)	(0.0618)	(0.0593)
						
Observations	4,276	4,276	4,276	4,123	4,123	4,123
R-squared	0.189	0.396	0.405	0.364	0.632	0.683
Number of firmID			64			
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
